rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
133,frame_0276.jpg,110.4,0.4205,0.67,0.125,0.24,9,1,False,False
134,frame_0017.jpg,6.8,0.4202,0.3654,0.125,1.0,3,1,False,False
135,frame_0398.jpg,159.2,0.4197,0.5184,0.375,0.24,7,3,False,False
136,frame_0009.jpg,3.6,0.4193,0.3636,0.125,1.0,2,1,False,False
137,frame_0023.jpg,9.2,0.4187,0.3624,0.125,1.0,3,1,False,False
138,frame_0081.jpg,32.4,0.4184,0.3238,0.375,0.72,5,3,False,False
139,frame_0385.jpg,154.0,0.4181,0.5311,0.375,0.2,6,3,False,False
140,frame_0104.jpg,41.6,0.4171,0.6362,0.25,0.12,4,2,False,False
141,frame_0013.jpg,5.2,0.417,0.359,0.125,1.0,3,1,False,False
142,frame_0216.jpg,86.4,0.4162,0.5064,0.25,0.44,4,2,False,False
143,frame_0026.jpg,10.4,0.4159,0.2819,0.25,1.0,5,2,False,False
144,frame_0174.jpg,69.6,0.4153,0.4776,0.375,0.32,4,3,False,False
145,frame_0027.jpg,10.8,0.4138,0.3525,0.125,1.0,4,1,False,False
146,frame_0106.jpg,42.4,0.4083,0.5756,0.375,0.04,6,3,False,False
147,frame_0098.jpg,39.2,0.4053,0.5696,0.375,0.04,6,3,False,False
148,frame_0188.jpg,75.2,0.4032,0.5655,0.375,0.04,9,3,False,False
149,frame_0171.jpg,68.4,0.4019,0.4028,0.375,0.44,5,3,False,False
150,frame_0379.jpg,151.6,0.4002,0.4094,0.625,0.04,8,5,False,False
151,frame_0269.jpg,107.6,0.3988,0.5567,0.375,0.04,4,3,False,False
152,frame_0214.jpg,85.6,0.3955,0.433,0.25,0.52,2,2,False,False
153,frame_0232.jpg,92.8,0.3953,0.4856,0.375,0.2,9,3,False,False
154,frame_0096.jpg,38.4,0.3929,0.5128,0.375,0.12,8,3,False,False
155,frame_0177.jpg,70.8,0.3922,0.4044,0.5,0.2,6,4,False,False
156,frame_0281.jpg,112.4,0.3921,0.5332,0.125,0.44,6,1,False,False
157,frame_0330.jpg,132.0,0.3905,0.615,0.25,0.04,8,2,False,False
158,frame_0394.jpg,157.6,0.3878,0.5936,0.25,0.08,4,2,False,False
159,frame_0212.jpg,84.8,0.3812,0.4474,0.125,0.6,1,1,False,False
160,frame_0391.jpg,156.4,0.3807,0.5204,0.375,0.04,6,3,False,False
161,frame_0208.jpg,83.2,0.3789,0.3787,0.125,0.76,4,1,False,False
162,frame_0308.jpg,123.2,0.3735,0.383,0.5,0.16,5,4,False,False
163,frame_0192.jpg,76.8,0.372,0.5141,0.25,0.2,3,2,False,False
164,frame_0300.jpg,120.0,0.3709,0.3998,0.25,0.48,6,2,False,False
165,frame_0121.jpg,48.4,0.3708,0.4425,0.125,0.56,4,1,False,False
166,frame_0185.jpg,74.0,0.3708,0.4845,0.375,0.08,5,3,False,False
167,frame_0210.jpg,84.0,0.3706,0.3192,0.25,0.68,5,2,False,False
168,frame_0228.jpg,91.2,0.3691,0.6473,0.125,0.04,3,1,False,False
169,frame_0283.jpg,113.2,0.3688,0.4546,0.125,0.52,3,1,False,False
170,frame_0032.jpg,12.8,0.3674,0.3348,0.0,1.0,6,0,False,False
